Actual,Predicted
93742.69771877576,134012.64688824688
203004.86747885484,184785.13435225328
177464.2838897023,167365.13449962338
197764.1326810192,204765.7415905615
102323.8575863443,152557.4382175815
195070.3916190394,154415.8179943227
59486.98124236654,140310.16102750177
170020.06668451815,145138.42009402002
191013.81589737616,180794.60865678167
182964.4364277288,164136.3413022869
174219.32764738932,155594.7364474258
100277.29549570274,131672.41609107633
49511.33337017706,132262.58756107555
145215.39144811186,136562.4919523701
149697.56296602247,155171.79520661235
166286.01817421708,204235.84141061845
189213.0036767229,159423.22919268155
80120.96536723839,133417.97708544094
212115.3360775829,138384.4109342543
156899.71934803727,174807.3694757643
123861.46224024903,150239.37285276531
199592.07367850223,173196.32486555545
125903.7943191016,126575.39277307579
99220.5939668288,139695.71492588893
147241.5336506042,143044.82963258986
92269.53495776236,132037.5696890518
163085.28163801666,190094.49302472032
138101.027849915,156724.06365618116
109348.07465011864,152654.54897059556
125657.41247594694,174806.93108382728
103424.94072926446,137390.1114549871
144001.66769463103,136806.32956531594
119643.95334394282,141710.06033852068
124113.98848545314,129447.98800714125
161809.08576132427,154021.66595187096
199871.26553559868,168995.37717018556
154642.00164202246,158608.53132574353
143626.6728026655,162649.23759256792
180471.4125969077,186093.54717989865
159149.9887324812,155896.05439227066
203212.7313677647,160060.53286439824
116050.55997497257,140584.17557166767
106521.1346797226,141586.2329738549
179693.15909006217,166310.12749617035
42879.68400569592,146261.91812179016
113367.3387139677,140049.76381255902
118702.91611034464,188238.51012922815
215555.4117366092,163497.84095140494
144171.02758467017,167651.17356358358
164283.86255416792,172664.38604064292
203781.26944182583,171187.17042276042
132124.88313816913,153539.37628600458
163164.57599292844,137025.92671951093
97152.07146541096,137924.63739976793
211552.8028133416,180354.705059819
125108.96354855988,159053.0166522529
152827.58985895803,173192.55877896212
206078.8900386092,155522.06102308905
151602.68391453757,163529.99310203714
163020.51797467037,142385.1452099283
158027.1685889724,150412.57238669097
141175.59842434386,129238.9716654458
102460.5032921194,150822.3370132513
157366.7253436614,131460.67930707405
199409.3531862518,160059.20080479785
126213.03835459244,137092.65577343016
194484.7394562752,142144.33367500265
209461.95168789293,177572.93671977174
91543.8272575304,143046.27493147703
109161.24297811792,135362.32572219215
160241.21961584498,201273.63246531895
147271.08352755132,147504.09222811108
141489.16638528983,135647.8020186986
187522.0006538012,149849.65848974153
146079.81396890729,131820.9059037461
166702.86269835886,137178.7759171779
213022.6423507345,194236.5884228699
206496.26906198464,144363.75943612796
156726.10020858084,160321.0628355646
188304.07225169888,175892.26850772384
156384.6768349571,194152.16164769395
181121.46974687325,174268.14946549802
151054.77273417002,139508.32907994735
176101.2342105557,155092.17800914997
106314.5848536652,135484.00555417096
201214.09421598227,148997.8232596321
203573.49664583805,161279.6306098632
62031.2127833508,138454.2183342678
162594.55090548645,181378.23212938488
174301.0782829834,159942.6655488116
199105.6755038951,178823.40275142947
162582.72545080775,218773.48966355156
170009.41706027108,139783.16872082945
192015.1513429928,180190.41422891797
201977.49150859707,168625.41213786765
97845.952770984,157728.93397100747
176244.20559987772,142028.62489702136
74387.88294512706,128521.06327958286
175898.0078019724,182912.37839284574
200779.6339388505,188871.8188650664
170460.4633934793,154492.2881389782
191625.058738734,199536.8580592019
107952.9080662679,142283.33690706556
188639.7816734722,139822.50894127612
185500.43290315443,171732.07761432917
83148.3472293496,128754.07819728946
195244.0503598047,166449.30144991569
121590.25704229482,138878.37434945776
67221.65426709001,148105.2370749176
138334.1369414661,146647.28546412408
169190.68693177262,158722.73965011616
125087.78008035535,169553.36523421615
163513.22637985856,147346.57962257927
136589.31643498884,152815.2492113629
215442.26096357385,197523.04721520178
114437.43046996968,155192.6944546705
144412.10994492323,150652.58578079977
149075.09672679796,128381.20407563783
190474.08725919743,174550.9461718039
117707.1358481634,138562.2631245832
194605.11207645605,133150.8666501203
95489.2466341568,143120.20692404095
133198.18762543637,132731.91883722603
176157.767608193,163568.40439720626
199047.9464856662,178354.1871689104
167977.874034214,172197.93789644446
98937.2191024101,131983.9253406272
126415.93436953792,147513.74252374063
214368.020327318,167914.27359202603
118410.36240008702,140481.58584191062
164750.45413119745,170526.86176879032
212863.56799263365,188072.35172835074
149889.07864456004,163370.2646104165
211523.6452286768,205077.99576646974
165694.43497645424,172753.53010460353
140576.91193297695,164102.22785932838
121405.41202697776,131225.8002154801
191619.99242208505,143000.35257165052
103836.81606319216,136238.78440946928
190589.2807295977,155444.39887825385
187265.83475819416,193064.9700268504
99661.94373151496,142745.3550926778
213007.98398954087,173851.9966398984
184284.75447632044,144954.2474605252
155486.14089879702,144813.73090866528
153859.3097301392,126326.56656366022
159149.1476372749,141685.92994803027
181315.50597886785,178479.40321281995
132828.8237919627,137748.89551274895
146737.68959688782,137254.01739589107
103413.95294498595,154377.25536773744
210387.95112436943,211005.14651386102
138257.07659854073,133758.7510279971
212801.15158882548,185755.016296876
187283.51309734888,166154.31629588862
114074.92499175706,130512.81753586553
114158.06012938137,137642.25573542938
127371.65819831975,130058.59441891726
193722.83739163456,149722.9779265453
99354.30527867896,134446.53230852776
177544.6430370699,164862.73091036154
141168.51855327995,150382.26110301382
129154.22586797483,155667.87124555826
195039.6223064605,170038.18363884816
168144.51978740605,148240.8949835171
126150.42593181122,151445.9645782941
112723.636899278,138482.58836109197
167723.32508062694,198867.42007856432
70225.63508100774,134462.33121663018
151597.63530803417,145605.39094178
188978.9780723201,170469.04484237882
142104.12338427236,137693.21932526884
189282.00528429984,151458.0781844901
190984.00846955905,175324.55280006156
113214.09979337912,135863.53223062004
106588.0571733958,167126.90075747372
147301.07815871752,169090.66154490423
147721.20739989716,145844.9861107367
212626.1979964812,180469.02980666322
183274.97427076468,132691.2062712876
38074.54422683205,131631.05636706756
196285.36341065823,147983.54959107202
192451.05031442555,159017.21169735157
130997.43104922348,157823.97613557018
166090.11796638928,137913.87348197942
190034.14283411755,165534.73494537553
204977.28708312984,174543.51219011215
137767.05349463806,133588.202517481
191650.90968214264,176871.13471817592
90546.7521844264,137814.23312744746
140871.0785073966,140705.1877822539
196572.15760675367,183663.565066418
108163.07808349092,152468.92338634678
154893.31759300016,138150.24675660403
155256.51480996696,178260.09874451687
144552.7806914118,133063.89015431993
190199.73486573668,168517.5164375279
96683.3280875322,142854.7876158516
